Tabla:`azpr-tdata-mx-fin-8303.ba_finance_mx.chain_sales_mx`

Estructura:

table_name	column_name	data_type	is_nullable
chain_sales_mx	sku	INT64	YES
chain_sales_mx	store	INT64	YES
chain_sales_mx	trans	INT64	YES
chain_sales_mx	calendar_date	DATETIME	YES
chain_sales_mx	type_sale	STRING	YES
chain_sales_mx	promo_flag	STRING	YES
chain_sales_mx	quantity	INT64	YES
chain_sales_mx	equalized_units	NUMERIC	YES
chain_sales_mx	net_sales	NUMERIC	YES
chain_sales_mx	net_cost	NUMERIC	YES
chain_sales_mx	net_cost_adj	NUMERIC	YES
chain_sales_mx	gross_profit	NUMERIC	YES
chain_sales_mx	gross_profit_adj	NUMERIC	YES
chain_sales_mx	regular_sales	NUMERIC	YES
chain_sales_mx	regular_sales_adj	NUMERIC	YES
chain_sales_mx	deal_id	INT64	YES
chain_sales_mx	deal_desc	STRING	YES
chain_sales_mx	customer_type	STRING	YES
chain_sales_mx	customer_number	INT64	YES


muestra data 

sku	store	trans	calendar_date	type_sale	promo_flag	quantity	equalized_units	net_sales	net_cost	net_cost_adj	gross_profit	gross_profit_adj	regular_sales	regular_sales_adj	deal_id	deal_desc	customer_type	customer_number
912741	10234	60615	2026-04-23T00:00:00	99	N	-1	-1	-296.7	0	0	-296.7	-296.7	0	0	0	Sin deal	DIY	0
912741	10232	16472	2026-04-23T00:00:00	99	N	-1	-1	-22	0	0	-22	-22	0	0	0	Sin deal	DIY	0
912741	9632	267182	2026-04-23T00:00:00	99	N	-1	-1	-119.9	0	0	-119.9	-119.9	0	0	0	Sin deal	DIY	0
912741	9652	309483	2026-04-23T00:00:00	99	N	-1	-1	-10.8	0	0	-10.8	-10.8	0	0	0	Sin deal	DIY	0
912741	10167	112630	2026-04-23T00:00:00	99	N	-1	-1	-301.7	0	0	-301.7	-301.7	0	0	0	Sin deal	DIY	0
912741	10167	112441	2026-04-23T00:00:00	99	N	-1	-1	-161.8	0	0	-161.8	-161.8	0	0	0	Sin deal	DIY	0
912741	9651	240407	2026-04-23T00:00:00	99	N	-1	-1	-99.8	0	0	-99.8	-99.8	0	0	0	Sin deal	DIY	0
912741	10193	157932	2026-04-23T00:00:00	99	N	-1	-1	-8	0	0	-8	-8	0	0	0	Sin deal	DIY	0
517435	10175	132026	2026-04-23T00:00:00	01	N	1	1	0	0	0	0	0	0	0	0	Sin deal	DIY	0
912741	9634	46788	2026-04-23T00:00:00	99	N	-1	-1	-90.3	0	0	-90.3	-90.3	0	0	0	Sin deal	DIY	0
912741	10365	6252	2026-04-23T00:00:00	99	N	-1	-1	-5.8	0	0	-5.8	-5.8	0	0	0	Sin deal	DIY	0
912741	10167	112689	2026-04-23T00:00:00	99	N	-1	-1	-474.8	0	0	-474.8	-474.8	0	0	0	Sin deal	DIY	0
912741	10273	63782	2026-04-23T00:00:00	99	N	-1	-1	-5	0	0	-5	-5	0	0	0	Sin deal	DIY	0
912741	10151	120575	2026-04-23T00:00:00	99	N	-1	-1	-24.9	0	0	-24.9	-24.9	0	0	0	Sin deal	DIY	0
912741	10152	260790	2026-04-23T00:00:00	99	N	-1	-1	-213.7	0	0	-213.7	-213.7	0	0	0	Sin deal	DIY	0
912741	10119	117272	2026-04-23T00:00:00	99	N	-1	-1	-3.8	0	0	-3.8	-3.8	0	0	0	Sin deal	DIY	0
912741	10232	16435	2026-04-23T00:00:00	99	N	-1	-1	-346.8	0	0	-346.8	-346.8	0	0	0	Sin deal	DIY	0
912741	10259	59447	2026-04-23T00:00:00	99	N	-1	-1	-7.1	0	0	-7.1	-7.1	0	0	0	Sin deal	DIY	0
912741	10190	124492	2026-04-23T00:00:00	99	N	-1	-1	-102.8	0	0	-102.8	-102.8	0	0	0	Sin deal	DIY	0
912741	10143	120048	2026-04-23T00:00:00	99	N	-1	-1	-285.8	0	0	-285.8	-285.8	0	0	0	Sin deal	DIY	0
912741	10157	137580	2026-04-23T00:00:00	99	N	1	1	27.8	0	0	27.8	27.8	0	0	0	Sin deal	DIY	0
912741	9640	51193	2026-04-23T00:00:00	99	N	-1	-1	-9.9	0	0	-9.9	-9.9	0	0	0	Sin deal	DIY	0
912741	10120	292356	2026-04-23T00:00:00	99	N	-1	-1	-51.8	0	0	-51.8	-51.8	0	0	0	Sin deal	DIY	0
912741	9653	140023	2026-04-23T00:00:00	99	N	-1	-1	-5.4	0	0	-5.4	-5.4	0	0	0	Sin deal	DIY	0
912741	10108	268550	2026-04-23T00:00:00	99	N	-1	-1	-47.8	0	0	-47.8	-47.8	0	0	0	Sin deal	DIY	0
912741	10256	72540	2026-04-23T00:00:00	99	N	-1	-1	-37.8	0	0	-37.8	-37.8	0	0	0	Sin deal	DIY	0
912741	9635	7818	2026-04-23T00:00:00	99	N	-1	-1	-543.4	0	0	-543.4	-543.4	0	0	0	Sin deal	DIY	0
912741	10200	132629	2026-04-23T00:00:00	99	N	-1	-1	-14.9	0	0	-14.9	-14.9	0	0	0	Sin deal	DIY	0
912741	10331	28235	2026-04-23T00:00:00	99	N	-1	-1	-25.8	0	0	-25.8	-25.8	0	0	0	Sin deal	DIY	0
912741	10148	125676	2026-04-23T00:00:00	99	N	-1	-1	-47.8	0	0	-47.8	-47.8	0	0	0	Sin deal	DIY	0
